	X	Y	OBJECTID	LocID	API	ConstructNumber	ConstructType	ConstructStatus	LocType	ElevationType	Depth	Latitude	Longitude	CoordsBH_N	CoordsBH_E	UTMZone	FootageNS	Dir_NS	FootageEW	Dir_EW	QtrQtr	Section	Township	TownshipDir	Range	RangeDir	Meridian	County	FORKLIFT_HASH
19923	-110.192046757	40.0437225110001	156005	110648	4301332248	0	Vertical	I	BH			40.043716	-110.192036	4432922.0	568924.0	12.0	2046	FSL	557.0	FEL	NESE	11.0	9.0	S	15.0	E	S	7.0	18d83dc7bc03956f
19949	-110.120604111	40.1116834900001	156033	125619	4301350079	0	Vertical	S	BH			40.111677	-110.120593	4440523.0	574944.0	12.0	542	FNL	868.0	FWL		28.0	4.0	S	2.0	W	U	7.0	9f5b7d7fe1660dbd
19954	-110.092555317	40.1261434670001	156039	128726	4301350882	0	Vertical	LA	BH			40.126137	-110.092544	4442152.0	577318.0	12.0	560	FNL	1836.0	FEL	NWNE	22.0	4.0	S	2.0	W	U	7.0	2ea0aeecee4861f2
20010	-110.339926575	40.092193969	156108	120973	4301350037	0	Vertical	P	BH			40.092188	-110.339915	4438198.0	556269.0	12.0	1970	FNL	1989.0	FEL	SWNE	33.0	4.0	S	4.0	W	U	7.0	7405b8dcbca7f4b1
20040	-110.392214876	40.1418163440001	156141	119384	4301330922	0	Vertical	PA	BH			40.14181	-110.392204	4443674.0	551774.0	12.0	522	FSL	796.0	FEL	SESE	12.0	4.0	S	5.0	W	U	7.0	41bd072324e5a083
20044	-110.401025653	40.091616064	156145	124431	4301353080	0	Directional	LA	BH			40.09161	-110.401014	4438097.0	551061.0	12.0	1980	FNL	1980.0	FWL	SENW	36.0	4.0	S	5.0	W	U	7.0	fa797238604ddd95
20067	-110.414896056	40.1280405000001	156169	137150	4301310226	0	Vertical	PA	BH			40.128034	-110.414885	4442132.0	549852.0	12.0	810	FSL	1880.0	FEL	SWSE	14.0	4.0	S	5.0	W	U	7.0	60fba8df880e2dc3
20080	-110.552104003	40.102632783	156184	116210	4301330455	0	Vertical	PA	BH			40.102627	-110.552093	4439244.0	538176.0	12.0	2104	FSL	1817.0	FWL	NESW	27.0	4.0	S	6.0	W	U	7.0	cc8dfeb4e20b9b94
20100	-110.517975993	40.145516414	156205	135445	4301351720	0	Directional	P	BH			40.14551	-110.517965	4444019.0	541059.0	12.0	1964	FSL	774.0	FWL	NWSW	12.0	4.0	S	6.0	W	U	7.0	4110d4cf507c6278
20566	-110.009303056	40.0763688690001	156705	126816	4301331860	0	Vertical	I	BH			40.076363	-110.009292	4436703.0	584473.0	12.0	1943	FNL	2009.0	FEL	SWNE	33.0	8.0	S	17.0	E	S	7.0	37b6f6aef6632a8e
20734	-110.05991809	40.427492128	156900	131596	4301330360	0	Vertical	P	BH			40.427486	-110.059907	4475630.0	579744.0	12.0	2022	FNL	2034.0	FWL	SENW	1.0	1.0	S	2.0	W	U	7.0	e1550bcf12da301a
20735	-110.051565986	40.401036671	156901	133636	4301331336	0	Vertical	PA	BH			40.40103	-110.051555	4472701.0	580484.0	12.0	730	FNL	849.0	FEL		13.0	1.0	S	2.0	W	U	7.0	cec9abd80b90a32d
20747	-110.204994139	40.0644079480001	156914	124251	4301330997	0	Vertical	PA	BH			40.064402	-110.204983	4435208.0	567799.0	12.0	984	FNL	678.0	FWL		2.0	9.0	S	15.0	E	S	7.0	f0157082f46d1669
20764	-110.192370651	40.018254632	156931	129658	4301332828	0	Vertical	I	BH			40.018249	-110.192359	4430095.0	568922.0	12.0	1970	FNL	665.0	FEL	SENE	23.0	9.0	S	15.0	E	S	7.0	e39d823cb29800b2
20771	-110.185782493	40.06774319	156940	131403	4301351065	0	Horizontal	P	BH			40.067737	-110.185771	4435593.0	569434.0	12.0	215	FSL	1120.0	FWL	SWSW	36.0	9.0	S	15.0	E	S		9667b014ba534050
20772	-110.221984292	39.9974287270001	156941	131421	4301352523	0		LA	BH			39.997421	-110.22197	4427761.0	566415.0	12.0	1015	FSL	1409.0	FWL	SESW	27.0	9.0	S	15.0	E	S	7.0	01a62b1ce6980c7f
20832	-110.065495672	40.021985882	157014	118328	4301333083	0	Vertical	I	BH			40.02198	-110.065484	4430615.0	579745.0	12.0	595	FNL	2010.0	FEL	NWNE	24.0	9.0	S	16.0	E	S	7.0	f35f661177516f3a
20869	-110.121880164	40.061708545	157054	123324	4301331973	0	Vertical	A	BH			40.061702	-110.121869	4434975.0	574890.0	12.0	1980	FNL	1980.0	FEL	SWNE	4.0	9.0	S	16.0	E	S	7.0	6366f6a21a788bce
20876	-110.121372545	40.04006378	157063	124376	4301333054	0	Vertical	I	BH			40.040058	-110.121361	4432573.0	574957.0	12.0	731	FSL	1804.0	FEL	SWSE	9.0	9.0	S	16.0	E	S	7.0	0cd17e6ffd3e4a4b
21223	-110.039239559	40.0775490090001	157432	112285	4301350831	0	Directional	P	BH			40.077543	-110.039228	4436806.0	581919.0	12.0	1491	FNL	161.0	FWL		32.0	8.0	S	17.0	E	S	7.0	55af13b2f5fa9032
21224	-110.056008482	40.0870567210001	157434	112712	4301331543	0	Vertical	I	BH			40.087051	-110.055997	4437846.0	580478.0	12.0	1980	FSL	660.0	FWL	NWSW	30.0	8.0	S	17.0	E	S	7.0	61cdcba4b2a8b841
21244	-110.013537959	40.1014782670001	157459	117842	4301330752	0	Vertical	I	BH			40.101472	-110.013527	4439486.0	584081.0	12.0	1915	FSL	2076.0	FWL	NESW	21.0	8.0	S	17.0	E	S	7.0	550e8f5697c38a67
